ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9593151,HX243615,04/30/2014 9:19:00 PM,002XX N HAMLIN BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,1122,011,28,26,14,1150973,1901271,2014,05/03/2014,41.88497884,-87.72106152,"(41.88497883709698, -87.72106152062672)"
9593158,HX243608,04/30/2014 9:15:00 PM,0000X E CERMAK RD,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,0131,001,2,33,04A,1176697,1889723,2014,05/03/2014,41.85274792,-87.62694839,"(41.85274792165134, -87.62694839291449)"
9593140,HX243599,04/30/2014 9:10:00 PM,079XX S HONORE ST,0880,THEFT,PURSE-SNATCHING,SIDEWALK,false,false,0611,006,18,71,06,1165359,1852077,2014,05/03/2014,41.74969123,-87.66962913,"(41.74969122896309, -87.66962912734974)"
9593165,HX243644,04/30/2014 9:10:00 PM,071XX S CYRIL AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,0333,003,5,43,08B,1190560,1857913,2014,05/05/2014,41.76513516,-87.57709514,"(41.76513515846036, -87.57709513787646)"
9594302,HX244655,04/30/2014 9:10:00 PM,046XX S DREXEL BLVD,0820,THEFT,$500 AND UNDER,STREET,false,false,0222,002,4,39,06,1183149,1874107,2014,05/04/2014,41.8097485,-87.60375465,"(41.80974849685703, -87.60375464570146)"
9593227,HX243600,04/30/2014 9:06:00 PM,072XX S PHILLIPS AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,0334,003,7,43,04B,1193765,1857488,2014,05/03/2014,41.763891,-87.56536199,"(41.76389100287065, -87.5653619894339)"
9593148,HX243657,04/30/2014 9:05:00 PM,015XX W 47TH ST,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,STREET,true,false,0924,009,3,61,26,1167093,1873611,2014,05/04/2014,41.80874636,-87.66265957,"(41.808746357541196, -87.6626595739084)"
9593180,HX243620,04/30/2014 9:03:00 PM,030XX W FLOURNOY ST,0560,ASSAULT,SIMPLE,APARTMENT,false,true,1134,011,28,27,08A,1155981,1896913,2014,05/07/2014,41.87292053,-87.70278883,"(41.87292052832697, -87.70278882675842)"
9593613,HX244012,04/30/2014 9:00:00 PM,011XX N HARDING AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1112,011,27,23,06,1149803,1907372,2014,05/03/2014,41.90174345,-87.72519919,"(41.901743445864085, -87.72519918926128)"
9593232,HX243584,04/30/2014 9:00:00 PM,029XX W MADISON ST,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,true,false,1222,012,2,27,16,1156997,1899923,2014,05/04/2014,41.88115972,-87.69897692,"(41.88115972446192, -87.69897692185536)"
9596360,HX246858,04/30/2014 9:00:00 PM,013XX E 87TH ST,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,0412,004,8,45,06,1186652,1847605,2014,05/06/2014,41.7369424,-87.59174456,"(41.736942395451536, -87.59174456045048)"
9593110,HX243580,04/30/2014 9:00:00 PM,096XX S PEORIA ST,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,2223,022,21,73,06,1171981,1840585,2014,05/03/2014,41.71801286,-87.6456998,"(41.7180128626264, -87.6456998020989)"
9593526,HX243929,04/30/2014 9:00:00 PM,106XX S MAPLEWOOD AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2211,022,19,72,06,1161221,1834081,2014,05/04/2014,41.70039384,-87.68528902,"(41.70039384290432, -87.68528901722244)"
9593133,HX243591,04/30/2014 9:00:00 PM,010XX W 59TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,SMALL RETAIL STORE,false,false,0712,007,16,68,14,1170268,1865647,2014,05/03/2014,41.78682368,-87.65124614,"(41.786823681488954, -87.65124614465863)"
9594401,HX244616,04/30/2014 9:00:00 PM,107XX S CAMPBELL AVE,0810,THEFT,OVER $500,STREET,false,false,2212,022,19,75,06,1161585,1833111,2014,05/04/2014,41.69772447,-87.68398296,"(41.69772446840683, -87.68398295841656)"
9593500,HX243612,04/30/2014 9:00:00 PM,048XX W VAN BUREN ST,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,true,true,1533,015,24,25,04B,1144277,1897616,2014,05/04/2014,41.87507754,-87.74574246,"(41.87507753964782, -87.74574245974094)"
9593194,HX243631,04/30/2014 8:56:00 PM,119XX S HALSTED ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0524,005,34,53,18,1173096,1825878,2014,05/04/2014,41.6776301,-87.64204833,"(41.67763009503862, -87.64204833039014)"
9593131,HX243605,04/30/2014 8:55:00 PM,028XX S HOMAN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1032,010,22,30,18,1154196,1885092,2014,05/04/2014,41.84051815,-87.70965768,"(41.84051815150988, -87.70965767975811)"
9593144,HX243609,04/30/2014 8:51:00 PM,014XX S KEDVALE AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1011,010,24,29,18,1148994,1892677,2014,05/04/2014,41.86143442,-87.72855115,"(41.86143442117859, -87.72855114534367)"
9593256,HX243572,04/30/2014 8:45:00 PM,029XX W MADISON ST,1513,PROSTITUTION,SOLICIT FOR BUSINESS,SIDEWALK,true,false,1222,012,2,27,16,1156997,1899923,2014,05/04/2014,41.88115972,-87.69897692,"(41.88115972446192, -87.69897692185536)"
